1, 1.4, 0.6435203144593774, 0.005, -127, 1.5, True
2, 1.4, -0.5472223501114309, 0.005, 92, 0.6666666666666666, True
3, 1.4, -0.48230201397592654, 0.005, 73, 0.5, True
4, 1.4, -0.4332063798760488, 0.005, 70, 2, True
5, 1.4, 0.6872542111504003, 0.005, -148, 1.25, True
6, 1.4, 0.448332052706525, 0.005, -83, 1, True
7, 1.4, 0.5384801266559052, 0.005, -124, 0.8, True
8, 1.5, -0.6424650198637701, 0.005, 122, 1.5, True
9, 1.5, -0.5557756913251878, 0.005, 79, 0.6666666666666666, True
10, 1.5, 0.41145246192935236, 0.005, -92, 0.5, True
11, 1.5, -0.67849270632206, 0.005, 115, 2, True
12, 1.5, -0.2724427058162818, 0.005, 51, 1.25, True
13, 1.5, 0.3104077848236234, 0.005, -65, 1, True
14, 1.5, -0.4422400793504835, 0.005, 84, 0.8, True
15, 1.3, -0.5830277850155829, 0.005, 87, 1.5, True
16, 1.3, 0.6279235658967212, 0.005, -161, 0.6666666666666666, True
17, 1.3, -0.4089272912327332, 0.005, 75, 0.5, True
18, 1.3, 0.6937931643334274, 0.005, -159, 2, True
19, 1.3, 0.4433081654145934, 0.005, -106, 1.25, True
20, 1.3, 0.6180463480081156, 0.005, -124, 1, True
21, 1.3, -0.41586257939522403, 0.005, 69, 0.8, True
1, 1.3, 0.6970571014518914, 0.005, -167, 0.5, True
2, 1.3, 0.6500603969392641, 0.005, -133, 1.25, True
3, 1.3, -0.5798798880368086, 0.005, 105, 0.6666666666666666, True
4, 1.3, 0.3836544014811377, 0.005, -104, 1, True
5, 1.3, -0.4303111016839411, 0.005, 84, 1.5, True
6, 1.3, 0.2887796111597503, 0.005, -69, 0.8, True
7, 1.3, -0.5215529253591177, 0.005, 92, 2, True
8, 1.5, -0.5572364651921515, 0.005, 86, 0.5, True
9, 1.5, -0.5872364081504029, 0.005, 108, 1.25, True
10, 1.5, 0.3712066207833154, 0.005, -100, 0.6666666666666666, True
11, 1.5, 0.4312941215597029, 0.005, -89, 1, True
12, 1.5, -0.393054557245152, 0.005, 81, 1.5, True
13, 1.5, 0.5897108858015575, 0.005, -129, 0.8, True
14, 1.5, 0.4531174315063961, 0.005, -110, 2, True
15, 1.4, 0.6677858598879186, 0.005, -136, 0.5, True
16, 1.4, 0.4564952538873248, 0.005, -109, 1.25, True
17, 1.4, -0.5703995789122038, 0.005, 104, 0.6666666666666666, True
18, 1.4, 0.4576080503490896, 0.005, -100, 1, True
19, 1.4, -0.2755505287151823, 0.005, 59, 1.5, True
20, 1.4, 0.6600734094306251, 0.005, -135, 0.8, True
21, 1.4, -0.47794597341133865, 0.005, 80, 2, True
